Log_ID,Server_ID,Server_Cluster,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours)
Station2_LOG00498,SRV086,CL-4,2025-08-01 10:48:00,20.89,36.57,37.59,21.82,24.1,146.6,5.72
Station2_LOG00499,SRV082,CL-10,2025-08-02 15:59:00,17.28,29.88,39.85,8.48,21.24,582.66,6.29
Station2_LOG00500,SRV056,CL-4,2025-08-01 03:12:00,49.99,58,33.72,4.47,12.93,652.82,1.84
Station2_LOG00501,SRV032,CL-4,2025-08-01 09:38:00,67.69,59.6,17.69,16.49,11.26,278.32,7.23
Station2_LOG00502,SRV086,CL-4,2025-08-02 07:04:00,35.34,79.43,,6.26,15.64,572.39,1.47
Station2_LOG00503,SRV067,CL-5,2025-08-01 11:11:00,42.5,70.42,8.33,7.78,9.44,239.11,7.88
Station2_LOG00504,SRV056,CL-4,2025-08-01 16:50:00,43.07,28.17,29.58,16.95,23.3,279.32,6.42
Station2_LOG00505,SRV026,CL-2,2025-08-02 03:10:00,49.11,63.57,23.28,25.8,20.55,302.39,8.04
Station2_LOG00506,SRV008,CL-1,2025-08-02 18:18:00,20.09,,73.17,9.65,11.55,923.12,0.17
Station2_LOG00507,SRV001,CL-8,2025-08-01 00:29:00,67.36,48.59,43.99,29.36,23.79,830.48,8.27
Station2_LOG00508,SRV020,CL-9,2025-08-02 16:51:00,21.63,22.87,56.56,20.68,9.37,350.98,3.08
Station2_LOG00509,SRV070,CL-1,2025-08-01 05:21:00,18.53,22.24,31.03,13.1,11.62,690.9,4.57
Station2_LOG00510,SRV028,CL-2,2025-08-02 21:37:00,51.5,55.05,32.9,18.85,9.92,194.35,0.79
Station2_LOG00511,SRV071,CL-2,2025-08-01 07:08:00,24.93,34.43,17.75,10.72,7.72,265.93,4.98
Station2_LOG00512,SRV086,CL-4,2025-08-01 21:22:00,75.21,,66.98,18,17.31,916.66,4.17
Station2_LOG00513,SRV034,CL-6,2025-08-02 19:16:00,60.17,,5.68,29.68,1.51,358.72,7.64
Station2_LOG00514,SRV094,CL-8,2025-08-02 08:56:00,71.93,43.71,68.73,15.95,17.96,178.49,1.83
Station2_LOG00515,SRV023,CL-1,2025-08-02 03:49:00,86.21,35.19,45.3,25.12,7.07,739.12,4.54
Station2_LOG00516,SRV096,CL-4,2025-08-01 05:51:00,17.47,47.09,67.76,2.11,14.83,468.23,6.3
Station2_LOG00517,SRV056,CL-4,2025-08-01 14:05:00,43.65,45.81,16.14,29.36,14.34,166.8,6.04
Station2_LOG00518,SRV056,CL-4,2025-08-02 04:19:00,69.47,67.26,10.09,27.52,2.51,515.59,3.51
Station2_LOG00519,SRV070,CL-1,2025-08-01 05:56:00,47.68,38.15,42.22,14.83,5.46,971.4,7.26
Station2_LOG00520,SRV094,CL-8,2025-08-02 23:07:00,59.12,38.67,37.83,29.39,16.47,684.44,6.48
Station2_LOG00521,SRV032,CL-4,2025-08-01 21:00:00,89.58,80.87,19.31,28.82,19.33,304.83,9.13
Station2_LOG00522,SRV005,CL-3,2025-08-01 20:06:00,65.37,87.54,52.26,18.35,0.87,591.93,7.33
Station2_LOG00523,SRV040,CL-6,2025-08-01 21:38:00,89.5,20.42,,4.82,22.42,288.23,2.38
Station2_LOG00524,SRV010,CL-4,2025-08-01 05:58:00,21.65,82.13,12.76,21.27,12.11,670.01,1.29
Station2_LOG00525,SRV063,CL-10,2025-08-01 01:20:00,49.61,51.69,69.88,7.85,15.48,317.46,2.28
Station2_LOG00526,SRV078,CL-1,2025-08-02 18:41:00,14.03,75.13,9.21,10.94,24.76,417.6,8.91
Station2_LOG00527,SRV031,CL-7,2025-08-01 06:45:00,14.63,64.75,29.33,18.19,24.83,974.27,7.04
Station2_LOG00528,SRV020,CL-9,2025-08-01 23:21:00,43.38,54.23,68.68,26.29,15.08,716.33,2.57
Station2_LOG00529,SRV027,CL-7,2025-08-02 05:34:00,36.39,44.71,29.51,25.29,19.51,914.73,6.55
Station2_LOG00530,SRV078,CL-1,2025-08-01 21:35:00,53.66,74.44,9.06,22.55,4.43,744.06,5.18
Station2_LOG00531,SRV078,CL-1,2025-08-02 21:38:00,25.49,36.5,59.52,29.01,12.11,811.43,4.97
Station2_LOG00532,SRV016,CL-2,2025-08-01 05:10:00,78.96,66.71,71.76,6.53,9.47,392.08,7.14
Station2_LOG00533,SRV048,CL-9,2025-08-02 01:50:00,58.48,44.46,45.19,16.31,23.91,357.89,6.11
Station2_LOG00534,SRV089,CL-1,2025-08-01 17:34:00,38.51,64.46,76.09,21.26,16.16,344.65,1.01
Station2_LOG00535,SRV082,CL-10,2025-08-01 13:57:00,93.07,57.74,74.1,28.89,14.86,878.37,8.66
Station2_LOG00536,SRV056,CL-4,2025-08-01 20:25:00,71.89,72.36,49.38,29.7,18.19,925.54,4.4
Station2_LOG00537,SRV048,CL-9,2025-08-02 05:18:00,24.06,24.25,23.69,24.53,19.6,221.66,6.71
Station2_LOG00538,SRV040,CL-6,2025-08-01 16:04:00,80.89,58.04,62.96,24.73,19.66,319.75,8.71
Station2_LOG00539,SRV010,CL-4,2025-08-01 01:45:00,77.23,78.83,39.77,5.11,21.32,581.74,8.26
Station2_LOG00540,SRV010,CL-4,2025-08-01 10:48:00,18.45,87.83,9.78,4.92,17.02,985.21,8.61
Station2_LOG00541,SRV054,CL-9,2025-08-01 06:29:00,54.52,87.69,71.64,9.57,12.94,236.12,6.88
Station2_LOG00542,SRV043,CL-8,2025-08-02 22:09:00,37.22,88.42,51.81,0.65,15.33,643.83,8.02
Station2_LOG00543,SRV063,CL-10,2025-08-02 02:41:00,72.13,68.17,8.81,9.56,21.22,447.73,3.69
Station2_LOG00544,SRV091,CL-2,2025-08-02 13:42:00,75.46,88.52,65.56,20,13.92,985.71,6.24
Station2_LOG00545,SRV078,CL-1,2025-08-01 07:35:00,57.45,85.83,17.32,17.47,12.33,571.67,6.76
Station2_LOG00546,SRV074,CL-3,2025-08-01 20:00:00,67.5,54.39,48.88,0.89,9.35,342.59,9.56
Station2_LOG00547,SRV041,CL-10,2025-08-01 14:27:00,12.46,,,1.89,20.99,247.71,7.33
Station2_LOG00548,SRV036,CL-9,2025-08-01 16:18:00,79.01,58.01,63.94,8.3,12.86,218.02,5.19
Station2_LOG00549,SRV028,CL-2,2025-08-02 20:45:00,76.98,82.47,66.2,19.34,17.46,909.43,1.85
Station2_LOG00550,SRV067,CL-5,2025-08-02 09:42:00,17.68,61.1,65.59,23.03,8.85,130.4,8.38
Station2_LOG00551,SRV086,CL-4,2025-08-02 22:33:00,18.38,44.45,49.78,28.7,12.52,656.3,1.18
Station2_LOG00552,SRV094,CL-8,2025-08-01 05:49:00,19.37,,69.19,16.13,2.31,471.61,9.05
Station2_LOG00553,SRV040,CL-6,2025-08-01 10:11:00,33,43.53,55.14,1.85,10.67,103.17,3.1
Station2_LOG00554,SRV082,CL-10,2025-08-02 14:34:00,26.09,39.24,28.08,3.09,18.72,314.41,5.99
Station2_LOG00555,SRV032,CL-4,2025-08-01 05:37:00,89.62,27.82,54.97,18.82,7.57,590.66,9.17
Station2_LOG00556,SRV097,CL-3,2025-08-02 13:05:00,18.7,65.4,55.98,14.55,14.97,834.75,2.31
Station2_LOG00557,SRV073,CL-3,2025-08-02 00:10:00,82.26,67.87,13.07,2.8,13.6,799,2.2
Station2_LOG00558,SRV048,CL-9,2025-08-02 23:14:00,83.01,,76.22,3.87,2.53,702.79,5.55
Station2_LOG00559,SRV078,CL-1,2025-08-02 06:28:00,21.12,26.35,38.94,13.43,14.98,661.42,3.11
Station2_LOG00560,SRV027,CL-7,2025-08-02 13:35:00,90.04,79.37,41.49,22,5.39,203.93,7.06
Station2_LOG00561,SRV043,CL-8,2025-08-01 05:17:00,33.92,65.32,71.86,16.24,8.75,436.06,8.08
Station2_LOG00562,SRV073,CL-3,2025-08-02 13:22:00,68.97,52.98,16.85,1.53,2.38,800.18,2.42
Station2_LOG00563,SRV035,CL-6,2025-08-02 01:37:00,87.03,22.11,18.58,24.75,2.05,361.16,9.84
Station2_LOG00564,SRV081,CL-4,2025-08-02 05:26:00,56.56,32.54,58.13,24.08,9.54,503.49,4.8
Station2_LOG00565,SRV056,CL-4,2025-08-02 21:02:00,32.78,24.5,31.71,26.65,18.08,671.1,9.29
Station2_LOG00566,SRV081,CL-4,2025-08-01 11:05:00,88.12,37.84,40.92,2.34,10.85,472.56,6.18
Station2_LOG00567,SRV082,CL-10,2025-08-01 10:50:00,59.83,33.53,25.74,4.45,3.73,532.32,1.33
Station2_LOG00568,SRV043,CL-8,2025-08-02 13:58:00,72.81,77.87,66.49,17.74,3.54,176.6,0.92
Station2_LOG00569,SRV008,CL-1,2025-08-01 10:49:00,33.38,27.19,47.98,8.68,11.22,110.41,2.48
Station2_LOG00570,SRV012,CL-3,2025-08-01 09:18:00,69.14,41.01,44.93,29.07,6.4,428.48,6.71
Station2_LOG00571,SRV086,CL-4,2025-08-02 12:57:00,60.26,80.02,61.99,1.92,,372.83,6.26
Station2_LOG00572,SRV036,CL-9,2025-08-01 17:37:00,36.14,61.44,8.2,11.96,23.53,482.72,9.87
Station2_LOG00573,SRV029,CL-2,2025-08-01 21:18:00,33.61,63.36,41.93,5.66,,563.97,7.66
Station2_LOG00574,SRV091,CL-2,2025-08-02 07:16:00,93.96,74.8,44.12,28.77,22.61,216.27,8.42
Station2_LOG00575,SRV071,CL-2,2025-08-02 23:11:00,16.33,26.42,34.95,9.18,9.72,275.63,8.1
Station2_LOG00576,SRV040,CL-6,2025-08-02 15:31:00,44.83,79.38,51.48,9.38,15.86,459.66,1.84
Station2_LOG00577,SRV096,CL-4,2025-08-01 18:20:00,15.57,66.97,20.75,24.9,1.93,993.89,4.72
Station2_LOG00578,SRV050,CL-1,2025-08-02 01:32:00,24.98,75.25,38.55,21.91,1.77,417.17,4.41
Station2_LOG00579,SRV063,CL-10,2025-08-01 00:21:00,39.03,47.94,31.79,6.73,7.37,168,0.73
Station2_LOG00580,SRV031,CL-7,2025-08-02 08:57:00,67.91,57.72,48.03,6.58,19.45,500.21,7.77
Station2_LOG00581,SRV096,CL-4,2025-08-02 13:07:00,77.27,87.67,59.81,17.25,1.16,874.13,1.79
Station2_LOG00582,SRV089,CL-1,2025-08-01 01:53:00,64.45,67.87,72.34,13.98,22.23,365.38,7.36
Station2_LOG00583,SRV036,CL-9,2025-08-01 00:02:00,83.48,88.11,70.18,21.66,11.43,182.32,1.79
Station2_LOG00584,SRV036,CL-9,2025-08-01 01:47:00,19.77,30.74,54.32,23.32,12.27,778.8,5.35
Station2_LOG00585,SRV045,CL-2,2025-08-01 08:31:00,76.94,61,73.74,25.37,5.01,870.24,2.64
Station2_LOG00586,SRV048,CL-9,2025-08-02 08:29:00,42.25,79.69,34.14,18.45,11.12,704.01,9.89
Station2_LOG00587,SRV029,CL-2,2025-08-01 08:49:00,79.12,64.02,32.31,26.4,13.47,285.87,3.19
Station2_LOG00588,SRV008,CL-1,2025-08-02 22:45:00,25.59,65.22,15.5,19.54,14.56,834.03,3.06
Station2_LOG00589,SRV041,CL-10,2025-08-02 05:00:00,75.75,75.07,32.79,3.45,24.77,688.14,7.51
Station2_LOG00590,SRV016,CL-2,2025-08-02 14:12:00,44.26,28.22,29.88,5.22,,353.39,3.05
Station2_LOG00591,SRV029,CL-2,2025-08-02 08:21:00,41.92,43.61,44.05,26.25,15.86,684.88,6.19
Station2_LOG00592,SRV071,CL-2,2025-08-02 11:07:00,18.15,54.52,79.43,5.24,2.25,314.92,3.24
Station2_LOG00593,SRV094,CL-8,2025-08-01 08:49:00,39.22,21.56,46.68,5.15,,971.79,8.53
Station2_LOG00594,SRV063,CL-10,2025-08-02 16:30:00,37.88,88.33,16.88,28.35,4.45,708.42,5.76
Station2_LOG00595,SRV073,CL-3,2025-08-02 22:20:00,57.33,79.41,79.84,14.22,6.61,558.06,8.69
Station2_LOG00596,SRV029,CL-2,2025-08-01 10:42:00,39.7,49.79,26.08,29.14,4.32,141.69,3.84
Station2_LOG00597,SRV011,CL-7,2025-08-02 15:36:00,77.12,,11.28,29.79,,193.29,2.55
Station2_LOG00598,SRV077,CL-1,2025-08-02 21:54:00,73.15,47.52,20.53,27.99,18.41,558.27,4.07
Station2_LOG00599,SRV066,CL-9,2025-08-01 09:17:00,58.07,69.7,38.17,4.31,7.73,190.15,8.32
Station2_LOG00600,SRV094,CL-8,2025-08-02 14:57:00,10.9,31.73,71.76,20.99,11.43,116.3,9.97
Station2_LOG00601,SRV027,CL-7,2025-08-02 17:48:00,40.8,44.06,54.42,28.73,15.29,970.85,6.52
Station2_LOG00602,SRV091,CL-2,2025-08-01 14:27:00,65.02,52.05,9.23,7.8,0.64,781.44,7.27
Station2_LOG00603,SRV078,CL-1,2025-08-01 11:39:00,15.63,37.94,20.52,2.26,2.29,521.34,1.17
Station2_LOG00604,SRV001,CL-8,2025-08-02 07:56:00,49.75,51.04,,19.74,12.62,207.37,1.63
Station2_LOG00605,SRV048,CL-9,2025-08-02 12:27:00,71.63,38.26,64.23,26.14,3.6,570.76,1.36
Station2_LOG00606,SRV084,CL-9,2025-08-02 01:55:00,93.74,88.39,63.54,1.83,21.35,826.44,6.17
Station2_LOG00607,SRV071,CL-2,2025-08-02 10:33:00,32.35,28.02,68.6,29.02,0.81,689.78,8.96
Station2_LOG00608,SRV010,CL-4,2025-08-02 01:12:00,80.47,77.98,53.04,18.51,3.34,327.88,8.09
Station2_LOG00609,SRV094,CL-8,2025-08-02 12:57:00,28.93,34.48,26.97,23.63,21.06,784.98,8.89
Station2_LOG00610,SRV091,CL-2,2025-08-01 12:45:00,49.13,39.86,61.68,23.58,24.77,865.99,5.95
Station2_LOG00611,SRV034,CL-6,2025-08-02 02:09:00,38.92,41.82,,11.58,7.8,654.33,0.75
Station2_LOG00612,SRV020,CL-9,2025-08-02 18:32:00,11,77.7,44.01,2.68,14.77,908.61,3.21
Station2_LOG00613,SRV081,CL-4,2025-08-01 19:09:00,53.22,31.63,63.38,26.38,3.49,480.55,5.13
Station2_LOG00614,SRV077,CL-1,2025-08-02 01:28:00,44.21,80.62,50.42,21.47,22.67,689.16,4.83
Station2_LOG00615,SRV006,CL-4,2025-08-01 20:11:00,59.76,22.27,15.54,10.46,12.19,274.59,4.59
Station2_LOG00616,SRV005,CL-3,2025-08-02 08:10:00,47.42,41.56,13.64,22.64,11.09,391.72,4.52
Station2_LOG00617,SRV011,CL-7,2025-08-02 21:15:00,25.3,20.59,42.04,23.09,20.08,682.2,4.85
Station2_LOG00618,SRV023,CL-1,2025-08-02 17:06:00,92.29,54.95,57.14,4.52,2.81,538,7.48
Station2_LOG00619,SRV084,CL-9,2025-08-01 13:54:00,76.74,83.9,63.28,7.3,15.96,567.82,0.68
Station2_LOG00620,SRV071,CL-2,2025-08-02 14:31:00,55.88,45.55,76.34,9.61,23.45,414.67,0.33
Station2_LOG00621,SRV046,CL-7,2025-08-02 21:04:00,11.84,25.69,28.93,15.45,9.29,836.82,6.19
Station2_LOG00622,SRV077,CL-1,2025-08-02 20:51:00,77.06,28.96,38.38,25.39,11.53,907.21,0.19
Station2_LOG00623,SRV043,CL-8,2025-08-02 14:42:00,92.01,83.9,19.25,1.2,14.66,783.81,4.78
Station2_LOG00624,SRV008,CL-1,2025-08-02 16:36:00,46.5,85.09,23.11,20.91,21.9,348.18,2.77
Station2_LOG00625,SRV031,CL-7,2025-08-02 15:41:00,62.55,55.09,69.26,18.03,13.96,478.26,2.01
Station2_LOG00626,SRV091,CL-2,2025-08-01 03:31:00,57.95,,48.73,1.41,22.49,985.14,7.65
Station2_LOG00627,SRV014,CL-10,2025-08-01 05:41:00,50.94,53.47,65.77,7.94,21.21,688.92,0.84
Station2_LOG00628,SRV084,CL-9,2025-08-01 15:51:00,37.09,59.77,68.79,27.11,11.71,158.06,1.29
Station2_LOG00629,SRV066,CL-9,2025-08-01 23:50:00,74.6,74.59,56.9,5.95,3.98,436.88,7.48
Station2_LOG00630,SRV045,CL-2,2025-08-01 12:15:00,54.7,27.36,,3.33,12.33,429.12,1.33
Station2_LOG00631,SRV013,CL-2,2025-08-02 19:05:00,49.94,,66.03,22.27,24.91,288.08,6.8
Station2_LOG00632,SRV094,CL-8,2025-08-02 13:05:00,86.44,32.38,8.13,15.35,12.3,802.51,4.93
Station2_LOG00633,SRV050,CL-1,2025-08-01 07:31:00,75.29,84.66,21.01,10.53,4.3,378.94,1.9
Station2_LOG00634,SRV040,CL-6,2025-08-02 12:59:00,65.02,23.07,22.18,23.81,11.29,346.96,7.34
Station2_LOG00635,SRV023,CL-1,2025-08-01 20:44:00,53.08,57.59,51.31,6.08,7.32,359.92,7.45
Station2_LOG00636,SRV050,CL-1,2025-08-02 23:34:00,86.76,34.19,65.79,18.55,13.35,733.99,8.27
Station2_LOG00637,SRV073,CL-3,2025-08-02 17:46:00,12.15,86.97,34.28,5.96,6.64,606.72,7.25
Station2_LOG00638,SRV091,CL-2,2025-08-01 10:05:00,15.7,33.63,24.08,9.4,24,976.93,0.92
Station2_LOG00639,SRV014,CL-10,2025-08-01 22:55:00,19.47,66.61,33.37,27.31,15.93,947.18,0.82
Station2_LOG00640,SRV082,CL-10,2025-08-02 02:37:00,90.61,35.63,52.11,6.41,25,210.09,6.37
Station2_LOG00641,SRV096,CL-4,2025-08-01 06:01:00,39.81,24.62,52.32,16.13,20.63,446.62,4.46
Station2_LOG00642,SRV081,CL-4,2025-08-01 00:02:00,11.03,88.65,25.09,20.4,22.85,702.3,5.58
Station2_LOG00643,SRV010,CL-4,2025-08-01 07:59:00,46.42,26.52,,12.65,24.47,128.92,8.48
Station2_LOG00644,SRV008,CL-1,2025-08-02 13:54:00,27.47,34.46,30.05,11.96,13.15,116.09,0.14
Station2_LOG00645,SRV073,CL-3,2025-08-01 10:50:00,46.7,85.4,77.46,2.1,7.45,610.93,4.22
Station2_LOG00646,SRV032,CL-4,2025-08-02 14:48:00,59.29,30.56,55.14,12.41,19.61,484.09,5.01
Station2_LOG00647,SRV017,CL-6,2025-08-02 17:29:00,22.99,32.3,30.55,22.09,2.12,302.64,6.33
Station2_LOG00648,SRV094,CL-8,2025-08-02 09:15:00,24.98,46.5,55.25,10.24,8.59,489.31,0.58
Station2_LOG00649,SRV006,CL-4,2025-08-01 04:26:00,66.96,23.1,51.79,16.79,22.58,548.08,3.69
Station2_LOG00650,SRV001,CL-8,2025-08-01 16:16:00,73.59,31.19,67.56,22.07,24.65,121.84,4.93
Station2_LOG00651,SRV010,CL-4,2025-08-02 19:47:00,53.64,73.27,46.88,23.9,0.74,994.08,1.92
Station2_LOG00652,SRV041,CL-10,2025-08-01 17:30:00,13.51,47.7,27.9,25.71,,357.45,0.51
Station2_LOG00653,SRV070,CL-1,2025-08-01 19:21:00,75.56,54.56,,13.53,13.87,418.46,5.36
Station2_LOG00654,SRV017,CL-6,2025-08-01 04:44:00,18.79,,,24.18,17.99,268.74,6.39
Station2_LOG00655,SRV036,CL-9,2025-08-02 03:21:00,70.33,34.85,52.6,1.15,16.03,533.68,5.68
Station2_LOG00656,SRV043,CL-8,2025-08-01 14:44:00,22.32,79.96,51.87,16.7,21,124.98,8.24
Station2_LOG00657,SRV077,CL-1,2025-08-01 05:51:00,14.65,36.64,46.75,2.48,10.61,900.66,6.12
Station2_LOG00658,SRV084,CL-9,2025-08-02 02:34:00,27.53,51.41,79.5,28.38,3.72,296.85,7.42
Station2_LOG00659,SRV084,CL-9,2025-08-02 23:47:00,12.5,67.9,,18.82,19.29,691.27,6.72
Station2_LOG00660,SRV016,CL-2,2025-08-01 22:59:00,67.34,76.26,68.65,16.16,,256.45,5.71
Station2_LOG00661,SRV070,CL-1,2025-08-02 05:23:00,35.6,66.71,66.02,14.57,21.07,814.74,2.35
Station2_LOG00662,SRV082,CL-10,2025-08-02 06:32:00,22.7,58.33,45.51,29.47,17.83,241.03,1.42
Station2_LOG00663,SRV019,CL-2,2025-08-02 01:39:00,20.11,31.07,,3.21,23.78,379.73,2.65
Station2_LOG00664,SRV031,CL-7,2025-08-01 22:15:00,10.51,77.3,11.72,17.22,,589.21,9.41
Station2_LOG00665,SRV034,CL-6,2025-08-02 02:06:00,36.11,50.54,12.4,3.7,6,192.28,9.07
Station2_LOG00666,SRV046,CL-7,2025-08-01 18:32:00,90.3,78.38,26.64,15.38,4.34,501.56,2.46
Station2_LOG00667,SRV089,CL-1,2025-08-02 16:32:00,27.85,76.66,77.82,29.27,13.2,335,2.7
Station2_LOG00668,SRV074,CL-3,2025-08-02 05:40:00,85.42,80.78,79.67,26.01,3.29,677.91,4.8
Station2_LOG00669,SRV010,CL-4,2025-08-02 14:33:00,13.64,61.58,44.17,26.27,1.49,866.92,3.42
Station2_LOG00670,SRV028,CL-2,2025-08-02 10:49:00,82.4,41.73,5.25,4.17,9.53,952.13,1.02
Station2_LOG00671,SRV036,CL-9,2025-08-02 11:18:00,20.92,31.14,42.64,29.07,,241.59,6.78
Station2_LOG00672,SRV086,CL-4,2025-08-02 18:51:00,56.48,85.02,44.87,19.76,23.11,488.3,6.87
Station2_LOG00673,SRV071,CL-2,2025-08-02 01:39:00,54.33,56.67,11.37,6.95,16.91,645.58,5.76
Station2_LOG00674,SRV013,CL-2,2025-08-01 12:00:00,14.71,,19.94,29.15,15.18,579.79,6.32
Station2_LOG00675,SRV067,CL-5,2025-08-01 14:52:00,94.57,,53.42,8.08,20.85,132.83,7.42
Station2_LOG00676,SRV046,CL-7,2025-08-02 07:41:00,63.2,58.83,36.84,1.18,7.85,266.67,4.21
Station2_LOG00677,SRV081,CL-4,2025-08-01 11:47:00,20.03,67.19,13.21,19.79,5.89,828.84,8.28
Station2_LOG00678,SRV089,CL-1,2025-08-01 05:47:00,76.71,66.19,54.76,15.8,0.63,706.98,3.5
Station2_LOG00679,SRV034,CL-6,2025-08-01 07:56:00,61.98,25.72,16.44,15.62,24.57,603.34,3.68
Station2_LOG00680,SRV078,CL-1,2025-08-02 00:45:00,73.23,60.31,41.61,28.4,9.45,245.83,4.42
Station2_LOG00681,SRV026,CL-2,2025-08-02 10:19:00,36.04,60.53,26.5,12.06,5.45,834.96,3.2
Station2_LOG00682,SRV034,CL-6,2025-08-02 07:58:00,31.08,40.36,68.96,27.09,23.21,689.83,7.86
Station2_LOG00683,SRV032,CL-4,2025-08-01 04:10:00,70.2,51.03,14.52,18,11.38,690.78,3.85
Station2_LOG00684,SRV023,CL-1,2025-08-01 23:33:00,15.61,54.14,37.56,27.8,4.91,611.03,3.8
Station2_LOG00685,SRV027,CL-7,2025-08-01 06:18:00,86.52,56.31,38.46,18.93,8.47,407.57,5.62
Station2_LOG00686,SRV001,CL-8,2025-08-02 13:12:00,69.97,79.12,76,22.52,14.07,171.04,7.24
Station2_LOG00687,SRV048,CL-9,2025-08-02 00:05:00,46.97,,29.82,12.92,16.35,801.22,1.87
Station2_LOG00688,SRV048,CL-9,2025-08-02 18:00:00,24.91,,62.7,12.35,7.35,400.32,5.04
Station2_LOG00689,SRV078,CL-1,2025-08-02 21:00:00,43.63,46.31,,7.13,6.8,798.09,0.73
Station2_LOG00690,SRV016,CL-2,2025-08-01 01:27:00,47.25,40.51,20.43,8.59,2.7,126.16,3.2
Station2_LOG00691,SRV078,CL-1,2025-08-02 15:00:00,86.51,65.96,57.56,1.47,12.98,751.72,0.19
Station2_LOG00692,SRV005,CL-3,2025-08-01 09:52:00,93.43,80.91,6.54,20.66,15.24,758.52,4.68
Station2_LOG00693,SRV078,CL-1,2025-08-02 17:59:00,62.93,87.66,5.97,25.82,6.46,874.05,9.56
Station2_LOG00694,SRV097,CL-3,2025-08-01 14:49:00,11.76,78.75,33.31,9.28,22.87,680.03,2.66
Station2_LOG00695,SRV041,CL-10,2025-08-02 21:56:00,86.42,,12.81,26.26,16.29,448.01,5.08
Station2_LOG00696,SRV046,CL-7,2025-08-02 03:27:00,72.28,39.94,71.56,28.26,13.81,795.86,6.79
Station2_LOG00697,SRV040,CL-6,2025-08-02 19:58:00,31.2,76.72,,27.24,17.86,183.07,6.23
Station2_LOG00698,SRV011,CL-7,2025-08-01 07:05:00,47.77,50.1,25.08,4.95,11.7,316.21,1.83
Station2_LOG00699,SRV029,CL-2,2025-08-02 16:31:00,13.62,77.1,40.17,5.03,2.26,851.75,4.17
Station2_LOG00700,SRV070,CL-1,2025-08-02 14:03:00,94.41,,46.3,29.51,19.89,236.06,7.77
Station2_LOG00701,SRV020,CL-9,2025-08-01 03:59:00,41.66,34.87,17.7,8.9,12.13,147.99,9.14
Station2_LOG00702,SRV011,CL-7,2025-08-01 15:16:00,63.81,87.54,74.16,5.7,2.31,585.75,0.9
Station2_LOG00703,SRV005,CL-3,2025-08-02 10:55:00,89.73,,11.08,14.69,14.97,332.71,7.29
Station2_LOG00704,SRV046,CL-7,2025-08-01 09:59:00,65.63,38.69,33.92,21.48,2.9,826.47,7.81
Station2_LOG00705,SRV089,CL-1,2025-08-01 11:41:00,12.62,84.04,23.87,15.26,20.01,599.29,5.97
Station2_LOG00706,SRV023,CL-1,2025-08-02 00:26:00,85.93,62.97,23.58,17.36,18.31,505.99,2.03
Station2_LOG00707,SRV074,CL-3,2025-08-02 18:57:00,20.27,48.41,7.39,3.83,17.82,106.82,2.36
Station2_LOG00708,SRV094,CL-8,2025-08-01 22:55:00,70.03,22.42,45.99,14.83,1.16,955.89,7.57
Station2_LOG00709,SRV034,CL-6,2025-08-02 05:40:00,25.33,,58.57,23.9,2.46,888.08,0.5
Station2_LOG00710,SRV013,CL-2,2025-08-01 09:19:00,21.91,25.4,11,7.14,18.97,956.21,6.84
Station2_LOG00711,SRV089,CL-1,2025-08-01 05:36:00,48.87,83.12,12.66,28.3,15.93,695.29,4.68
Station2_LOG00712,SRV082,CL-10,2025-08-01 08:44:00,88.07,32.72,78.97,16.52,9.27,801.76,3.98
Station2_LOG00713,SRV096,CL-4,2025-08-02 19:56:00,89.21,20,29.26,15.78,23.59,383.06,5.15
Station2_LOG00714,SRV023,CL-1,2025-08-02 22:41:00,21.2,73.13,54.31,27.79,7.53,123.17,3.74
Station2_LOG00715,SRV067,CL-5,2025-08-02 03:14:00,83.96,69.82,16.14,22.4,3.62,743.46,9.8
Station2_LOG00716,SRV091,CL-2,2025-08-01 06:24:00,57.66,83.01,47.34,17.03,7.54,662.34,2.73
Station2_LOG00717,SRV070,CL-1,2025-08-02 01:24:00,88.97,25.87,59.99,10.69,13.64,593.17,6.97
Station2_LOG00718,SRV031,CL-7,2025-08-02 03:33:00,23.05,28.18,63.31,15.51,15.81,600.3,4.35
Station2_LOG00719,SRV063,CL-10,2025-08-02 04:18:00,10.97,29.35,27.91,24.08,21.98,981.76,7.14
Station2_LOG00720,SRV082,CL-10,2025-08-02 07:27:00,60.05,32.75,21.49,19.54,21.04,814.91,7.44
Station2_LOG00721,SRV063,CL-10,2025-08-01 17:39:00,40.76,35.83,51.42,18.59,13.3,570.55,4.49
Station2_LOG00722,SRV067,CL-5,2025-08-02 01:51:00,37.18,72.85,27.53,27.99,1.58,943.99,5.99
Station2_LOG00723,SRV019,CL-2,2025-08-02 16:04:00,14.9,66.15,56.56,14.15,23.13,202.25,3.26
Station2_LOG00724,SRV013,CL-2,2025-08-01 04:18:00,47.98,43.84,31.1,1.93,10.18,971.78,9.64
Station2_LOG00725,SRV017,CL-6,2025-08-01 03:13:00,67.39,59.32,24.64,13.74,23.92,857.34,5.06
Station2_LOG00726,SRV008,CL-1,2025-08-02 13:41:00,55.14,22.95,69.44,29.44,14.68,664.68,0.76
Station2_LOG00727,SRV067,CL-5,2025-08-01 06:31:00,56.32,87.97,57,5.91,13.53,505.22,2.5
