Log_ID,Server_ID,Server_Cluster,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Config_Version,Last_Patch_Date,Deployment_Token
Station1_LOG00438,SRV097,CL-3,2025-08-01 14:32:00,34.91,44.85,45.3,11.95,3.85,577.78,9.22,v1.0.0,2024-03-20 00:00:00,LO1BXBA22J
Station1_LOG00439,SRV046,CL-7,2025-08-02 22:45:00,48.81,86.56,52.34,6.64,9.65,171.75,7.01,v1.0.0,2024-09-23 00:00:00,0IPSB53XQC
Station1_LOG00440,SRV010,CL-4,2025-08-01 21:24:00,65.45,53.53,64.47,5.62,0.95,171.68,5.23,v1.0.0,2024-09-10 00:00:00,FAIXG2G10Y
Station1_LOG00441,SRV096,CL-4,2025-08-01 05:14:00,11.7,62.19,30.47,15.52,17.28,120.04,8.82,v3.1.0,2024-04-14 00:00:00,4IUYD7RINA
Station1_LOG00442,SRV081,CL-4,2025-08-02 10:50:00,75.33,73.13,42.2,0.95,12.97,265.84,6.74,v3.1.0,2024-03-02 00:00:00,BMCZDBRAEI
Station1_LOG00443,SRV073,CL-3,2025-08-02 14:16:00,19.92,48.49,52.6,6.28,17.2,118.73,1.72,v2.0.3,2024-02-06 00:00:00,HAN15VCJXN
Station1_LOG00444,SRV046,CL-7,2025-08-02 00:48:00,10.04,23.6,63.23,16.96,17.11,702.37,7.72,v2.0.3,2024-06-13 00:00:00,3VQRIQYE1S
Station1_LOG00445,SRV017,CL-6,2025-08-02 04:20:00,46.79,46.73,16.49,1.06,16.33,273.26,6.18,v2.0.3,2024-07-04 00:00:00,EO37PHANHD
Station1_LOG00446,SRV026,CL-2,2025-08-02 13:10:00,30.54,38.25,32.41,17.88,2.03,571.83,3.22,v1.0.0,2024-03-24 00:00:00,FY71KNCKON
Station1_LOG00447,SRV020,CL-9,2025-08-02 09:44:00,36.11,35.18,72.77,8.69,,332.11,8.07,v1.0.0,2024-02-26 00:00:00,Q2YGYNKIV9
Station1_LOG00448,SRV036,CL-9,2025-08-02 04:46:00,33.02,38.5,33.72,26.98,12.58,850.74,9.62,v1.0.0,2024-05-13 00:00:00,LTUV67HT2I
Station1_LOG00449,SRV089,CL-1,2025-08-01 01:55:00,61.13,58.24,71.65,24.33,16.48,940.12,9.56,v1.1.2,2024-07-24 00:00:00,I41UG82Z8E
Station1_LOG00450,SRV032,CL-4,2025-08-02 19:57:00,62.17,77.84,73.15,26.73,11.53,786.62,5.94,v1.1.2,2024-05-03 00:00:00,BJN7FDTGSK
Station1_LOG00451,SRV081,CL-4,2025-08-01 08:28:00,70.48,66,,17.2,2.77,502.51,6.95,v3.1.0,2024-12-19 00:00:00,18X4RYS04S
Station1_LOG00452,SRV006,CL-4,2025-08-01 17:12:00,94.05,24.47,10.13,1.7,16.18,292.32,4.8,v3.1.0,2024-10-20 00:00:00,CF5DEK429M
Station1_LOG00453,SRV005,CL-3,2025-08-01 06:28:00,24.82,71.89,54.9,5.39,24.21,558.42,0.92,v1.0.0,2024-07-03 00:00:00,RWY8ZOI9HD
Station1_LOG00454,SRV017,CL-6,2025-08-02 16:42:00,61.97,75.62,57.5,8.72,3.71,114.33,8.36,v3.1.0,2024-03-24 00:00:00,5OPKORUCU6
Station1_LOG00455,SRV034,CL-6,2025-08-02 11:52:00,16.35,59.88,76.13,24.61,12.69,747.68,9.9,v1.0.0,2024-07-17 00:00:00,9GB1XAC9M2
Station1_LOG00456,SRV035,CL-6,2025-08-02 23:29:00,21.45,29.97,40,17.53,2.58,756.46,4.84,v1.1.2,2024-07-04 00:00:00,2IQ4LU1BY4
Station1_LOG00457,SRV082,CL-10,2025-08-01 16:33:00,22.9,28.91,13.52,28.52,10.01,118.85,0.88,v2.0.3,2024-06-17 00:00:00,1SMP85Y7T3
Station1_LOG00458,SRV074,CL-3,2025-08-01 10:27:00,25.8,68.07,69.66,3.15,3.93,188.59,5.52,v1.1.2,2024-03-11 00:00:00,16D3CV0L5C
Station1_LOG00459,SRV020,CL-9,2025-08-01 17:20:00,55.49,68.62,33.94,18.18,22.13,195.7,4.66,v1.0.0,2024-12-06 00:00:00,ZOBZOUJJ30
Station1_LOG00460,SRV094,CL-8,2025-08-02 13:52:00,64.9,24.34,59.36,9.44,6.52,969.82,8.99,v1.1.2,2024-01-20 00:00:00,I62VS01WXP
Station1_LOG00461,SRV011,CL-7,2025-08-02 21:09:00,13.51,31.26,62.54,16.33,14.81,351.71,6.03,v3.1.0,2024-03-21 00:00:00,J0U0VGDR1G
Station1_LOG00462,SRV048,CL-9,2025-08-02 20:25:00,83.61,76.5,50.57,9.35,9.6,164.16,9.17,v1.0.0,2024-02-07 00:00:00,HWGPBYEXZ9
Station1_LOG00463,SRV046,CL-7,2025-08-01 12:18:00,22.05,22.53,44.83,10.57,17.97,523.59,6.06,v2.0.3,2024-02-23 00:00:00,W54I3O6GIL
Station1_LOG00464,SRV017,CL-6,2025-08-01 00:59:00,49.49,,40.62,18.46,3.67,505.02,0.42,v2.0.3,2024-05-09 00:00:00,G1T4F9BYI4
Station1_LOG00465,SRV043,CL-8,2025-08-02 01:06:00,90.63,,51,12.32,12.39,670.03,6.07,v2.0.3,2024-12-03 00:00:00,E0PCM9A2KL
Station1_LOG00466,SRV028,CL-2,2025-08-01 23:59:00,42.52,51.66,23.06,13.14,8.33,119.52,8.31,v1.1.2,2024-08-02 00:00:00,L3E49YWS3N
Station1_LOG00467,SRV019,CL-2,2025-08-01 05:11:00,31.17,56.52,79.43,9.05,20.12,369.73,8.51,v1.1.2,2024-06-13 00:00:00,LJ0VGWGRZP
Station1_LOG00468,SRV005,CL-3,2025-08-02 21:19:00,57.46,52.94,68.55,14.88,24.81,584.38,6.99,v1.1.2,2024-10-12 00:00:00,ITDJ4WT1VA
Station1_LOG00469,SRV078,CL-1,2025-08-02 18:24:00,40.42,60.75,67.99,1.31,9.5,651.63,4.3,v2.0.3,2024-11-21 00:00:00,4KNYSGOHKS
Station1_LOG00470,SRV082,CL-10,2025-08-02 17:16:00,78.85,40.69,69.97,7.97,18.15,179.37,0.95,v2.0.3,2024-02-24 00:00:00,SPW0S1NKK0
Station1_LOG00471,SRV078,CL-1,2025-08-01 12:03:00,85.05,73.76,46.42,24.19,2.47,813.56,0.51,v2.0.3,2024-06-01 00:00:00,QH3A5F1U6S
Station1_LOG00472,SRV073,CL-3,2025-08-02 18:25:00,69.33,21.7,56.8,19.47,17.83,346.32,5.83,v3.1.0,2024-11-28 00:00:00,AU3V8KHV4Q
Station1_LOG00473,SRV054,CL-9,2025-08-01 22:24:00,73.99,,56.26,17.52,15.17,916.61,7.51,v1.1.2,2024-01-02 00:00:00,12MESQ790V
Station1_LOG00474,SRV067,CL-5,2025-08-02 03:26:00,28.55,53.15,5.92,3.65,7.42,464.58,0.59,v3.1.0,2024-10-18 00:00:00,WJAZQ4X55P
Station1_LOG00475,SRV043,CL-8,2025-08-01 03:30:00,18.17,,9.98,25.43,24.21,127.74,4.18,v1.0.0,2024-02-01 00:00:00,8HS287QMRM
Station1_LOG00476,SRV040,CL-6,2025-08-02 05:30:00,41.14,40.96,,22.18,12.41,368.23,3.31,v3.1.0,2024-01-22 00:00:00,DRKU0GKH8V
Station1_LOG00477,SRV073,CL-3,2025-08-02 19:40:00,38.45,87.66,40,7.31,19.13,469.46,3.42,v2.0.3,2024-06-25 00:00:00,6X2OZ2IMB3
Station1_LOG00478,SRV040,CL-6,2025-08-01 18:02:00,72.18,24.85,70.19,7.39,5.08,158.14,5.5,v3.1.0,2024-12-18 00:00:00,V62E84L9YI
Station1_LOG00479,SRV063,CL-10,2025-08-01 22:05:00,91.15,73.57,32.5,16.58,9.98,138.01,2.87,v1.1.2,2024-07-28 00:00:00,3S2W1IXU1O
Station1_LOG00480,SRV046,CL-7,2025-08-02 14:10:00,90.81,59.32,38.58,10.28,5.03,682.23,5.51,v2.0.3,2024-04-01 00:00:00,ZD14FTNM8V
Station1_LOG00481,SRV010,CL-4,2025-08-01 14:13:00,52.48,,42.47,1.52,6.08,155.89,0.4,v2.0.3,2024-03-28 00:00:00,6RMNR6NOBG
Station1_LOG00482,SRV032,CL-4,2025-08-02 04:50:00,84.15,75.37,62.16,25.72,5.71,107.67,8.06,v2.0.3,2024-07-17 00:00:00,2N0IDC8HNY
Station1_LOG00483,SRV045,CL-2,2025-08-01 06:03:00,46.78,49.53,63.11,2.33,23.17,154.77,1.45,v3.1.0,2024-04-27 00:00:00,EQKMQPY6N7
Station1_LOG00484,SRV054,CL-9,2025-08-02 06:20:00,18.7,79.25,76.06,11.9,13.82,149.58,9.64,v3.1.0,2024-08-09 00:00:00,284WYX74ZE
Station1_LOG00485,SRV082,CL-10,2025-08-02 00:10:00,52.65,54.64,7,23.12,21.4,492.87,9.4,v2.0.3,2024-01-25 00:00:00,2RQUKJF8RQ
Station1_LOG00486,SRV006,CL-4,2025-08-01 05:29:00,42.47,69.61,60.14,21.69,13.45,831.18,7.23,v1.0.0,2024-02-11 00:00:00,11XHWCBZUJ
Station1_LOG00487,SRV013,CL-2,2025-08-01 02:17:00,33.97,73.58,56.87,14.97,5.36,364.25,8.82,v1.1.2,2024-04-24 00:00:00,KJI92XPI86
Station1_LOG00488,SRV063,CL-10,2025-08-02 22:12:00,71.11,52.95,28.52,12.2,19.52,210.02,7.83,v1.0.0,2024-01-09 00:00:00,Q4UCCIL9X3
Station1_LOG00489,SRV056,CL-4,2025-08-01 05:18:00,28.46,,43.44,22.23,1.81,997.3,4.84,v3.1.0,2024-06-03 00:00:00,DD5S0Q7OC0
Station1_LOG00490,SRV050,CL-1,2025-08-02 08:06:00,53.76,72.35,62.18,21.6,10.12,981.01,7.52,v3.1.0,2024-09-16 00:00:00,YKQVOX2N5Z
Station1_LOG00491,SRV046,CL-7,2025-08-01 01:04:00,16.98,72.47,30.46,18.45,7.98,721.53,7.41,v2.0.3,2024-10-19 00:00:00,NSWJFII0UG
Station1_LOG00492,SRV029,CL-2,2025-08-02 04:51:00,83.91,39.05,8.46,17.42,3.39,553.13,3.49,v3.1.0,2024-11-08 00:00:00,WP6CBC5TNL
Station1_LOG00493,SRV041,CL-10,2025-08-01 20:59:00,46.36,48.49,13.17,14.9,10.98,265.99,9.97,v1.0.0,2024-05-15 00:00:00,0SGQ53ALJD
Station1_LOG00494,SRV029,CL-2,2025-08-02 21:53:00,17.92,74.08,77.36,28.94,2.09,985.55,4.75,v3.1.0,2024-11-08 00:00:00,49T0Z4O75R
Station1_LOG00495,SRV001,CL-8,2025-08-01 06:31:00,63.93,52.18,44.18,19.69,9.35,490.96,1.02,v1.0.0,2024-09-22 00:00:00,GFSH681TCH
Station1_LOG00496,SRV094,CL-8,2025-08-02 18:27:00,89.91,37.91,76.22,4.37,10.72,525.51,6.81,v1.1.2,2024-12-04 00:00:00,RVMWW3SZY9
Station1_LOG00497,SRV089,CL-1,2025-08-01 11:39:00,42.57,82.92,11.27,9.84,19.5,309.31,5.84,v2.0.3,2024-09-27 00:00:00,55NMWHH4VL
Station1_LOG00498,SRV001,CL-8,2025-08-02 15:02:00,47.43,,29.8,6.38,2.95,716.15,4.17,v1.0.0,2024-04-18 00:00:00,CJNJZ9G6DV
Station1_LOG00499,SRV056,CL-4,2025-08-02 01:15:00,72.53,64.85,14.19,3.65,15.19,211.85,4.43,v1.0.0,2024-10-24 00:00:00,7GSF6K9KOH
Station1_LOG00500,SRV084,CL-9,2025-08-01 05:43:00,60.23,31.05,61.53,10.35,5.97,624.46,1.87,v1.0.0,2024-02-11 00:00:00,IG3KQTYDB9
Station1_LOG00501,SRV048,CL-9,2025-08-02 03:48:00,26.95,35.67,13.02,18.05,20.84,711.96,3.01,v2.0.3,2024-06-15 00:00:00,O4P0K9K20G
Station1_LOG00502,SRV013,CL-2,2025-08-02 16:20:00,67.67,,21.13,1.58,8.34,307.2,1.04,v2.0.3,2024-06-05 00:00:00,BLCW0DPDZN
Station1_LOG00503,SRV056,CL-4,2025-08-02 19:44:00,19.9,56.83,36.54,20.98,,128.22,3.88,v1.1.2,2024-03-22 00:00:00,J2ETPSEYWR
Station1_LOG00504,SRV046,CL-7,2025-08-02 19:33:00,80.28,34.38,65.54,16.74,0.9,316.83,8.36,v3.1.0,2024-03-01 00:00:00,TWR2Z0AUF2
Station1_LOG00505,SRV082,CL-10,2025-08-02 19:14:00,75.24,53.69,63.74,8.36,17.54,557.2,8.6,v1.1.2,2024-03-18 00:00:00,WBHFBXQ4UW
Station1_LOG00506,SRV017,CL-6,2025-08-01 08:47:00,51.91,87.62,9.63,23.71,18.59,874.95,8.47,v1.0.0,2024-03-20 00:00:00,MKGZBYS7XZ
Station1_LOG00507,SRV005,CL-3,2025-08-01 10:03:00,87.35,48.91,52.97,10.59,22.27,399.65,2.67,v3.1.0,2024-01-10 00:00:00,TG7GA245J8
Station1_LOG00508,SRV048,CL-9,2025-08-02 03:14:00,57.6,56.02,79.25,25.18,5.62,992.92,1.12,v1.0.0,2024-05-28 00:00:00,DS0SP8JB6L
Station1_LOG00509,SRV016,CL-2,2025-08-02 00:11:00,47.14,53.03,29.69,7.62,17.54,110.98,5.44,v3.1.0,2024-09-17 00:00:00,7P5MZ6W3CO
Station1_LOG00510,SRV006,CL-4,2025-08-01 03:34:00,59.4,40.19,23.13,0.87,15.88,871.44,2.97,v1.0.0,2024-02-04 00:00:00,25UAK3J16C
Station1_LOG00511,SRV084,CL-9,2025-08-02 15:25:00,61.02,74.23,56.56,25.44,,485.04,1.59,v2.0.3,2024-02-25 00:00:00,ZJ9V9LIGZK
Station1_LOG00512,SRV040,CL-6,2025-08-01 05:00:00,57.36,52.06,33.69,19.77,8.18,183.27,6.74,v1.0.0,2024-06-08 00:00:00,LEIMD0RX3L
Station1_LOG00513,SRV066,CL-9,2025-08-01 15:05:00,58.49,69.87,73.87,24.05,8.28,409.01,1.47,v2.0.3,2024-09-25 00:00:00,S3T14LYF6N
Station1_LOG00514,SRV073,CL-3,2025-08-02 21:17:00,53.28,50.76,52.68,5.73,1.76,893.79,3.59,v1.1.2,2024-09-06 00:00:00,Z61DHIHPSM
Station1_LOG00515,SRV043,CL-8,2025-08-02 12:32:00,87.01,84.74,49.04,12.07,20.03,850.92,0.58,v3.1.0,2024-07-21 00:00:00,RA8K2H90U3
Station1_LOG00516,SRV011,CL-7,2025-08-02 08:25:00,61.15,25.3,9.61,20.47,13.8,994.95,4.74,v1.1.2,2024-02-16 00:00:00,LM2LW7ZRTQ
Station1_LOG00517,SRV063,CL-10,2025-08-01 18:52:00,93.51,,76.05,16.27,18.41,454.48,5.28,v2.0.3,2024-09-13 00:00:00,Y9FP14X2WP
Station1_LOG00518,SRV035,CL-6,2025-08-01 22:50:00,61.15,26.98,17.21,8.12,8.96,487.08,6.7,v2.0.3,2024-02-25 00:00:00,MXLEOTP7A3
Station1_LOG00519,SRV029,CL-2,2025-08-02 14:37:00,30.37,69.78,16.51,20.3,17.19,959.27,7.07,v1.1.2,2024-01-27 00:00:00,D24D0UXF7F
Station1_LOG00520,SRV027,CL-7,2025-08-02 11:47:00,54.12,58.84,32.53,1.96,7.02,941.41,9.8,v2.0.3,2024-11-20 00:00:00,GNTUSJXBCW
Station1_LOG00521,SRV045,CL-2,2025-08-02 10:33:00,62.88,32.66,72.78,29.28,2.51,865.53,4.66,v1.1.2,2024-05-18 00:00:00,A4MH0N5O9R
Station1_LOG00522,SRV008,CL-1,2025-08-01 23:36:00,73.59,48.13,9.66,1.37,22.45,178.33,2.43,v2.0.3,2024-04-19 00:00:00,FOWP473OZR
Station1_LOG00523,SRV081,CL-4,2025-08-01 03:16:00,89.37,84.98,40.31,18.25,20.59,733.28,3.33,v2.0.3,2024-10-19 00:00:00,CVFT9O07FS
Station1_LOG00524,SRV027,CL-7,2025-08-01 02:54:00,24.14,80.26,74.07,17.7,12.15,829.8,6.81,v2.0.3,2024-06-24 00:00:00,524HIARMLE
Station1_LOG00525,SRV020,CL-9,2025-08-01 10:50:00,60.53,21.21,59.17,16.78,17.12,450.56,3.86,v2.0.3,2024-07-16 00:00:00,XJ0AU1ARMX
Station1_LOG00526,SRV006,CL-4,2025-08-02 14:24:00,33.95,66.96,44.01,29.18,14.34,587.47,2.06,v1.0.0,2024-08-16 00:00:00,NCUYK2VFHD
Station1_LOG00527,SRV020,CL-9,2025-08-01 18:48:00,30.05,67.95,28.41,7.28,17.43,875.7,2.15,v1.1.2,2024-09-25 00:00:00,XXRPPNL6RN
Station1_LOG00528,SRV032,CL-4,2025-08-01 20:41:00,56.41,33.51,15.15,18.62,15.01,362.48,8.88,v1.1.2,2024-11-27 00:00:00,L9PQRMOU80
Station1_LOG00529,SRV010,CL-4,2025-08-02 15:44:00,81.44,69.87,42.22,29.41,10.28,491.69,8.43,v3.1.0,2024-07-23 00:00:00,I5MMQEBBEL
Station1_LOG00530,SRV048,CL-9,2025-08-01 17:13:00,59.52,60.01,61.3,11.58,5.91,816.25,1.61,v2.0.3,2024-04-22 00:00:00,C6JTEMN8MJ
Station1_LOG00531,SRV031,CL-7,2025-08-01 15:14:00,62.97,45.22,24.05,1.43,2.76,472.28,4.64,v3.1.0,2024-05-04 00:00:00,OLXQWLIFNN
Station1_LOG00532,SRV012,CL-3,2025-08-02 13:43:00,91.74,,5.47,16.07,16.41,169.95,0.35,v2.0.3,2024-08-24 00:00:00,V3NSXOF6T6
Station1_LOG00533,SRV013,CL-2,2025-08-02 18:52:00,58.61,35.91,11.71,13.09,12.25,109.84,1.04,v1.1.2,2024-04-24 00:00:00,02WPKQJ39Q
Station1_LOG00534,SRV077,CL-1,2025-08-01 06:33:00,14.32,68.76,57.63,4.19,11.56,222.28,7.85,v3.1.0,2024-12-26 00:00:00,3Y9EMLMBZR
Station1_LOG00535,SRV073,CL-3,2025-08-01 19:20:00,13.17,72.3,33.94,9.24,3.06,254.9,8.14,v3.1.0,2024-01-07 00:00:00,VNAQWB41PB
Station1_LOG00536,SRV073,CL-3,2025-08-02 02:09:00,28.88,71.54,52.83,1.41,11.46,625.38,6.64,v1.0.0,2024-08-18 00:00:00,PV7LYOZD2U
Station1_LOG00537,SRV041,CL-10,2025-08-01 16:08:00,85.56,86.12,69.4,19.38,22.88,242.14,4.43,v3.1.0,2024-08-13 00:00:00,YMHP9NYMSO
Station1_LOG00538,SRV086,CL-4,2025-08-02 09:23:00,34.49,,16.91,5.89,24.65,690.72,3.17,v1.1.2,2024-05-25 00:00:00,DH231WCGV6
Station1_LOG00539,SRV040,CL-6,2025-08-01 21:09:00,66.08,52.84,58.9,19.81,23.1,890.18,5.52,v1.1.2,2024-07-13 00:00:00,47LZ0O158J
Station1_LOG00540,SRV078,CL-1,2025-08-01 01:31:00,92.94,49.43,48.82,3.33,9.08,375.17,3.62,v1.0.0,2024-11-02 00:00:00,6YINW4UF3S
Station1_LOG00541,SRV028,CL-2,2025-08-01 23:23:00,33.14,71.61,5.01,20.93,16.33,795.05,8.06,v3.1.0,2024-10-09 00:00:00,Z2FS1O7D3Y
Station1_LOG00542,SRV056,CL-4,2025-08-01 13:23:00,34.78,32.2,77.21,3.97,10.29,479.84,4.69,v1.1.2,2024-06-28 00:00:00,FN7V2T3FLW
Station1_LOG00543,SRV028,CL-2,2025-08-01 20:53:00,73.08,21.6,25.29,6.77,23.65,627.84,3.56,v2.0.3,2024-11-21 00:00:00,J6ZGYLKCS2
Station1_LOG00544,SRV094,CL-8,2025-08-02 22:56:00,32.28,20.44,22.71,17.19,1.64,846.93,7.36,v2.0.3,2024-02-07 00:00:00,NQSAMCTXTY
Station1_LOG00545,SRV048,CL-9,2025-08-01 14:46:00,21.22,27.61,37.88,26.87,15,307.97,2.07,v2.0.3,2024-02-18 00:00:00,2KRCNEBCXI
Station1_LOG00546,SRV063,CL-10,2025-08-01 16:35:00,84.76,70.2,76.56,17.17,10.42,477.99,2.08,v1.0.0,2024-03-15 00:00:00,GHOHS5OK6B
Station1_LOG00547,SRV012,CL-3,2025-08-02 15:07:00,44.06,,52.13,14.08,6.82,371.23,7.7,v3.1.0,2024-02-18 00:00:00,IQFVAPR4WG
Station1_LOG00548,SRV041,CL-10,2025-08-01 06:24:00,20.28,43.26,,2.88,5.42,927.8,9.53,v3.1.0,2024-09-02 00:00:00,XDOUB5YNKL
Station1_LOG00549,SRV028,CL-2,2025-08-02 03:20:00,57.9,77.72,15.4,13.01,24.14,983.43,5.94,v1.0.0,2024-07-02 00:00:00,L61VA2J2BU
Station1_LOG00550,SRV034,CL-6,2025-08-02 09:12:00,39.5,70.47,23.02,8.28,10.02,281.31,6.98,v1.0.0,2024-12-20 00:00:00,QBT0NUG9FO
Station1_LOG00551,SRV011,CL-7,2025-08-01 00:44:00,19.3,29.59,19.49,21.71,1.91,286.99,4.72,v1.1.2,2024-02-20 00:00:00,I602MG2FEU
Station1_LOG00552,SRV067,CL-5,2025-08-01 01:42:00,52.84,38.48,40.54,28.97,7,614.24,0.52,v2.0.3,2024-09-01 00:00:00,F4VH9T13G4
Station1_LOG00553,SRV084,CL-9,2025-08-02 19:36:00,64,,75.28,14.16,16.68,699.64,6.44,v2.0.3,2024-02-16 00:00:00,L7NHYMAFCB
Station1_LOG00554,SRV097,CL-3,2025-08-01 06:02:00,49.9,29.44,54.73,1.22,9.46,676.76,7.53,v2.0.3,2024-06-17 00:00:00,8URU7M1VD7
Station1_LOG00555,SRV026,CL-2,2025-08-01 05:33:00,64.57,77.65,69.09,21.46,16.17,983.8,3.39,v2.0.3,2024-07-17 00:00:00,QCUCJ7NL8J
Station1_LOG00556,SRV034,CL-6,2025-08-01 15:49:00,78.85,25.92,53.94,9.06,18.12,720.57,9.69,v1.1.2,2024-04-15 00:00:00,NJ1Q3Q5PCN
Station1_LOG00557,SRV067,CL-5,2025-08-01 15:19:00,49.54,48.28,41.01,29.45,21.81,297.66,0.36,v3.1.0,2024-11-21 00:00:00,YIC11BIJ20
Station1_LOG00558,SRV011,CL-7,2025-08-02 06:48:00,39.68,56.08,20.78,17.01,18.3,243.79,5.04,v2.0.3,2024-06-04 00:00:00,2KKTBK5P24
Station1_LOG00559,SRV086,CL-4,2025-08-02 12:57:00,20.4,,7.53,23.31,,456.57,3.84,v2.0.3,2024-05-06 00:00:00,RQ2V73ZKR3
Station1_LOG00560,SRV031,CL-7,2025-08-01 07:10:00,59.97,53.91,22.87,10.71,17.4,760.01,7.67,v3.1.0,2024-07-10 00:00:00,5NYMMFUQFY
Station1_LOG00561,SRV070,CL-1,2025-08-01 14:20:00,64.43,48.63,39.07,18.81,23,448.16,8.07,v1.0.0,2024-04-19 00:00:00,AS8N40AP00
Station1_LOG00562,SRV077,CL-1,2025-08-01 12:25:00,89.59,77.04,63.77,23.3,3.99,663.86,5.77,v3.1.0,2024-02-07 00:00:00,S72RW556PN
Station1_LOG00563,SRV016,CL-2,2025-08-01 02:47:00,34.44,54.63,47.64,8,20.49,338.52,6.56,v3.1.0,2024-03-13 00:00:00,IQG01PYD81
Station1_LOG00564,SRV084,CL-9,2025-08-02 00:24:00,59.2,62.74,69.78,22.43,6.35,610.98,8.32,v1.1.2,2024-11-26 00:00:00,BT66KFG7I2
Station1_LOG00565,SRV043,CL-8,2025-08-01 14:43:00,70.3,30.24,41.78,16.23,12.5,373.08,9.31,v3.1.0,2024-01-26 00:00:00,OZA48U9ZYA
Station1_LOG00566,SRV073,CL-3,2025-08-02 17:46:00,73.11,77.43,65.18,1.69,24.59,146.07,0.87,v3.1.0,2024-06-25 00:00:00,FKEMR4BN7J
Station1_LOG00567,SRV043,CL-8,2025-08-02 13:56:00,56.7,32.58,50,21.82,12.51,971.24,7.27,v2.0.3,2024-04-04 00:00:00,EU122JN86T
Station1_LOG00568,SRV041,CL-10,2025-08-01 00:26:00,77.74,88.05,61.35,14.22,15.35,665.39,5.04,v2.0.3,2024-03-12 00:00:00,LBU8PT8TAG
Station1_LOG00569,SRV035,CL-6,2025-08-01 15:36:00,38.55,50.6,58.85,6.5,15.86,994.14,9.56,v1.1.2,2024-02-16 00:00:00,B6WZLOOHVU
Station1_LOG00570,SRV032,CL-4,2025-08-01 08:59:00,52.17,85.94,21.68,13.86,11.37,832.19,4.61,v3.1.0,2024-03-17 00:00:00,R3ZJFLNOUE
Station1_LOG00571,SRV081,CL-4,2025-08-02 21:30:00,56.21,33.78,49.39,21.92,18.61,955.33,3.87,v1.0.0,2024-04-07 00:00:00,1TSQACBSLY
Station1_LOG00572,SRV012,CL-3,2025-08-01 10:14:00,56.59,69.74,52.64,8.58,19.49,196.61,7.21,v1.0.0,2024-02-24 00:00:00,5MNJOTWXZB
Station1_LOG00573,SRV036,CL-9,2025-08-01 18:22:00,86.48,41.95,22.49,11.35,12.87,352.17,5.36,v1.0.0,2024-02-12 00:00:00,GYUJGB5OR6
Station1_LOG00574,SRV041,CL-10,2025-08-01 23:19:00,69.32,83.8,75.29,15.11,9.91,689.11,8.05,v1.1.2,2024-04-01 00:00:00,UN8FITOZAB
Station1_LOG00575,SRV066,CL-9,2025-08-01 06:00:00,85.19,40.1,30.21,2.17,22.55,231.78,3.2,v1.1.2,2024-04-05 00:00:00,OC0TSDWAN0
Station1_LOG00576,SRV078,CL-1,2025-08-02 14:36:00,14.6,22.07,22.29,5.17,0.78,583.45,5.08,v3.1.0,2024-11-05 00:00:00,AECEEUTZEI
Station1_LOG00577,SRV066,CL-9,2025-08-01 10:11:00,89.36,79.95,39.5,6.96,,818.41,1.9,v2.0.3,2024-10-21 00:00:00,41VSVDT766
Station1_LOG00578,SRV005,CL-3,2025-08-01 08:31:00,71.53,,21.12,28.45,15.52,978.33,0.56,v3.1.0,2024-02-10 00:00:00,V96Q3QZD2L
Station1_LOG00579,SRV046,CL-7,2025-08-01 12:31:00,73.19,52.47,75.4,23.79,3.42,245.91,9.48,v3.1.0,2024-03-13 00:00:00,EVSTYGX886
Station1_LOG00580,SRV020,CL-9,2025-08-02 06:41:00,20.22,27.42,12.48,5.08,2,425.1,6.61,v3.1.0,2024-08-06 00:00:00,5JGLWMK6SF
Station1_LOG00581,SRV073,CL-3,2025-08-02 01:41:00,84.03,64.33,6.84,1.31,18.59,956.79,9.32,v2.0.3,2024-04-17 00:00:00,5X4WU1I7XX
Station1_LOG00582,SRV032,CL-4,2025-08-01 08:33:00,24.1,72.26,9,22.15,7.1,231.38,1.86,v1.0.0,2024-11-01 00:00:00,ZUACZRRE5O
Station1_LOG00583,SRV084,CL-9,2025-08-02 23:24:00,48.99,29.11,53.06,10.39,20.16,528.66,5.93,v2.0.3,2024-05-20 00:00:00,FBOVB1ZJ39
Station1_LOG00584,SRV089,CL-1,2025-08-01 06:50:00,42.95,27.33,20.7,8.09,23.81,518.97,6.52,v1.0.0,2024-08-06 00:00:00,3O6J8LU25W
Station1_LOG00585,SRV040,CL-6,2025-08-02 11:36:00,33.46,24.54,59.43,19.4,11.58,346,7.4,v1.1.2,2024-06-20 00:00:00,S0QLFTI211
Station1_LOG00586,SRV013,CL-2,2025-08-02 18:05:00,30.9,53.17,49.12,23.36,10.13,510.96,1.6,v3.1.0,2024-02-12 00:00:00,IV2F1FK0IL
Station1_LOG00587,SRV035,CL-6,2025-08-01 02:54:00,85.8,66.92,33.7,20.26,3.36,159.99,8.27,v1.0.0,2024-12-21 00:00:00,CKQC4LFSI0
Station1_LOG00588,SRV066,CL-9,2025-08-01 22:10:00,47.55,82.89,51.19,24.77,10.63,319.56,3.88,v2.0.3,2024-03-21 00:00:00,IORFZCP83J
Station1_LOG00589,SRV071,CL-2,2025-08-02 14:58:00,42.35,78.64,29.79,25.92,0.99,415.36,9.26,v3.1.0,2024-10-01 00:00:00,J40Y52YGQY
